,Number,Name,Type1,Type2,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
51,#052,Meowth,Normal,,40,45,35,40,40,90
52,#053,Persian,Normal,,65,70,60,65,65,115
53,#054,Psyduck,Water,,50,52,48,65,50,55
54,#055,Golduck,Water,,80,82,78,95,80,85
55,#056,Mankey,Fighting,,40,80,35,35,45,70
56,#057,Primeape,Fighting,,65,105,60,60,70,95
57,#058,Growlithe,Fire,,55,70,45,70,50,60
58,#059,Arcanine,Fire,,90,110,80,100,80,95
59,#060,Poliwag,Water,,40,50,40,40,40,90
60,#061,Poliwhirl,Water,,65,65,65,50,50,90
61,#062,Poliwrath,Water,Fighting,90,85,95,70,90,70
62,#063,Abra,Psychic,,25,20,15,105,55,90
63,#064,Kadabra,Psychic,,40,35,30,120,70,105
64,#065,Alakazam,Psychic,,55,50,45,135,85,120
65,#066,Machop,Fighting,,70,80,50,35,35,35
66,#067,Machoke,Fighting,,80,100,70,50,60,45
67,#068,Machamp,Fighting,,90,130,80,65,85,55
68,#069,Bellsprout,Grass,Poison,50,75,35,70,30,40
69,#070,Weepinbell,Grass,Poison,65,90,50,85,45,55
70,#071,Victreebel,Grass,Poison,80,105,65,100,60,70
71,#072,Tentacool,Water,Poison,40,40,35,50,100,70
72,#073,Tentacruel,Water,Poison,80,70,65,80,120,100
73,#074,Geodude,Rock,Ground,40,80,100,30,30,20
74,#075,Graveler,Rock,Ground,55,95,115,45,45,35
75,#076,Golem,Rock,Ground,80,110,130,55,65,45
76,#077,Ponyta,Fire,,50,85,55,65,65,90
77,#078,Rapidash,Fire,,65,100,70,80,80,105
78,#079,Slowpoke,Water,Psychic,90,65,65,40,40,15
79,#080,Slowbro,Water,Psychic,95,75,110,100,80,30
80,#081,Magnemite,Electric,Steel,25,35,70,95,55,45
81,#082,Magneton,Electric,Steel,50,60,95,120,70,70
82,#083,Farfetch'd,Normal,Flying,52,65,55,58,62,60
83,#084,Doduo,Normal,Flying,35,85,45,35,35,75
84,#085,Dodrio,Normal,Flying,60,110,70,60,60,100
85,#086,Seel,Water,,65,45,55,45,70,45
86,#087,Dewgong,Water,Ice,90,70,80,70,95,70
87,#088,Grimer,Poison,,80,80,50,40,50,25
88,#089,Muk,Poison,,105,105,75,65,100,50
89,#090,Shellder,Water,,30,65,100,45,25,40
90,#091,Cloyster,Water,Ice,50,95,180,85,45,70
91,#092,Gastly,Ghost,Poison,30,35,30,100,35,80
92,#093,Haunter,Ghost,Poison,45,50,45,115,55,95
93,#094,Gengar,Ghost,Poison,60,65,60,130,75,110
94,#095,Onix,Rock,Ground,35,45,160,30,45,70
95,#096,Drowzee,Psychic,,60,48,45,43,90,42
96,#097,Hypno,Psychic,,85,73,70,73,115,67
97,#098,Krabby,Water,,30,105,90,25,25,50
98,#099,Kingler,Water,,55,130,115,50,50,75
99,#100,Voltorb,Electric,,40,30,50,55,55,100
100,#101,Electrode,Electric,,60,50,70,80,80,140
101,#102,Exeggcute,Grass,Psychic,60,40,80,60,45,40
102,#103,Exeggutor,Grass,Psychic,95,95,85,125,65,55
103,#104,Cubone,Ground,,50,50,95,40,50,35
104,#105,Marowak,Ground,,60,80,110,50,80,45
105,#106,Hitmonlee,Fighting,,50,120,53,35,110,87
106,#107,Hitmonchan,Fighting,,50,105,79,35,110,76
107,#108,Lickitung,Normal,,90,55,75,60,75,30
108,#109,Koffing,Poison,,40,65,95,60,45,35
109,#110,Weezing,Poison,,65,90,120,85,70,60
110,#111,Rhyhorn,Ground,Rock,80,85,95,30,30,25
111,#112,Rhydon,Ground,Rock,105,130,120,45,45,40
112,#113,Chansey,Normal,,250,5,5,35,105,50
113,#114,Tangela,Grass,,65,55,115,100,40,60
114,#115,Kangaskhan,Normal,,105,95,80,40,80,90
115,#116,Horsea,Water,,30,40,70,70,25,60
116,#117,Seadra,Water,,55,65,95,95,45,85
117,#118,Goldeen,Water,,45,67,60,35,50,63
118,#119,Seaking,Water,,80,92,65,65,80,68
119,#120,Staryu,Water,,30,45,55,70,55,85
120,#121,Starmie,Water,Psychic,60,75,85,100,85,115
121,#122,Mr. Mime,Psychic,,40,45,65,100,120,90
122,#123,Scyther,Bug,Flying,70,110,80,55,80,105
123,#124,Jynx,Ice,Psychic,65,50,35,115,95,95
124,#125,Electabuzz,Electric,,65,83,57,95,85,105
125,#126,Magmar,Fire,,65,95,57,100,85,93
126,#127,Pinsir,Bug,,65,125,100,55,70,85
127,#128,Tauros,Normal,,75,100,95,40,70,110
128,#129,Magikarp,Water,,20,10,55,15,20,80
129,#130,Gyarados,Water,Flying,95,125,79,60,100,81
130,#131,Lapras,Water,Ice,130,85,80,85,95,60
131,#132,Ditto,Normal,,48,48,48,48,48,48
132,#133,Eevee,Normal,,55,55,50,45,65,55
133,#134,Vaporeon,Water,,130,65,60,110,95,65
134,#135,Jolteon,Electric,,65,65,60,110,95,130
135,#136,Flareon,Fire,,65,130,60,95,110,65
136,#137,Porygon,Normal,,65,60,70,85,75,40
137,#138,Omanyte,Rock,Water,35,40,100,90,55,35
138,#139,Omastar,Rock,Water,70,60,125,115,70,55
139,#140,Kabuto,Rock,Water,30,80,90,55,45,55
140,#141,Kabutops,Rock,Water,60,115,105,65,70,80
141,#142,Aerodactyl,Rock,Flying,80,105,65,60,75,130
142,#143,Snorlax,Normal,,160,110,65,65,110,30
143,#144,Articuno,Ice,Flying,90,85,100,95,125,85
144,#145,Zapdos,Electric,Flying,90,90,85,125,90,100
145,#146,Moltres,Fire,Flying,90,100,90,125,85,90
146,#147,Dratini,Dragon,,41,64,45,50,50,50
147,#148,Dragonair,Dragon,,61,84,65,70,70,70
148,#149,Dragonite,Dragon,Flying,91,134,95,100,100,80
149,#150,Mewtwo,Psychic,,106,110,90,154,90,130
150,#151,Mew,Psychic,,100,100,100,100,100,100
